TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK4 | 0.16213081121168837
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK5 | 0.16175843308865337
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK6 | 0.16274803641053445
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK7 | 0.16294121578899046
TPdef | PLNONE | CFNONE | SO3 | QU2 | MA0.8 | WEEK8 | 0.16367308906093667
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK0 | 0.2022383877733088
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK1 | 0.174493046254139
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK2 | 0.1773793044168941
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK3 | 0.1775182502895976
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK4 | 0.17703830408804475
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK5 | 0.17606741544082744
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK6 | 0.1767929161221732
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK7 | 0.1763317863856005
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA1.0 | WEEK8 | 0.176209120732962
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK0 | 0.18741158581374048
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK1 | 0.1605793202817592
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK2 | 0.1605170501084403
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK3 | 0.16200759327387204
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK4 | 0.16109227788399377
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK5 | 0.16011612987285365
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK6 | 0.16031356855316625
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK7 | 0.16069635524454068
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK8 | 0.1614618772755084
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK0 | 0.21282950066600015
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK1 | 0.19785204451571942
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK2 | 0.2029144596980365
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK3 | 0.20509617404605143
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK4 | 0.2037424407200706
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK5 | 0.20430094010416486
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK6 | 0.20229157777947124
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK7 | 0.2018525934357235
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK8 | 0.2019777984428426
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK0 | 0.1956066367014603
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK1 | 0.1790432213237354
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK2 | 0.18423414007625039
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK3 | 0.18324738023617065
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK4 | 0.18318335593463247
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK5 | 0.1824137730930917
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK6 | 0.18207603273281653
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK7 | 0.18234879978062657
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK8 | 0.18194832983037315
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK0 | 0.20301191121549925
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK1 | 0.18170620378499822
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK2 | 0.1899115141498855
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK3 | 0.18848667782342346
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK4 | 0.18744965369605923
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK5 | 0.18739218928936616
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK6 | 0.1865455459238706
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK7 | 0.1865404297042074
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK8 | 0.18576913995797723
