TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK5 | 0.05386672051477856
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK6 | 0.05275846265751036
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK7 | 0.05143734031515301
TPdef | PLNONE | CFNONE | SO3 | QU3 | MA0.8 | WEEK8 | 0.05090231833826986
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK1 | -0.004186969611693653
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK2 | 0.009635328664709203
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK3 | 0.00680253419781332
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK4 | 0.009582930042543486
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK5 | 0.01033524081460166
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK6 | 0.010185934021523402
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK7 | 0.01021222213217346
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA1.0 | WEEK8 | 0.010185357433139308
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK1 | 0.012142466201043645
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK2 | 0.024478001790509546
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK3 | 0.028714913696779726
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK4 | 0.029044093226433365
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK5 | 0.03057121221458034
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK6 | 0.03126046574057775
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK7 | 0.030699515898770846
TPdef | PLNONE | CF2000-0500 | SONONE | QU0 | MA0.8 | WEEK8 | 0.030479014413011013
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK1 | 0.01155426230025633
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK2 | 0.02121538345164914
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK3 | 0.023018105171605574
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK4 | 0.02621829296461775
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK5 | 0.023866498896966015
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK6 | 0.027028317320094836
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK7 | 0.025897864670096415
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA1.0 | WEEK8 | 0.026759522852754042
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK1 | 0.024214293370048517
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK2 | 0.038368749022153203
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK3 | 0.039056678104355036
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK4 | 0.04336824501759354
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK5 | 0.046396814304186934
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK6 | 0.044239573781378355
